Epoch,SGD,SGD with Momentum,Adam,AdamW,RMSprop,Adagrad
394,1.0480,0.2622,0.2151,0.3291,0.9741,7.2497
395,1.1822,0.2848,0.2169,0.3336,0.9694,7.2469
396,1.2887,0.2909,0.2155,0.3225,0.9699,7.2441
397,1.1348,0.3227,0.2127,0.3299,0.9721,7.2413
398,1.2215,0.3479,0.2214,0.3338,0.9699,7.2385
399,1.2544,0.2839,0.2130,0.3371,0.9717,7.2357
400,1.0383,0.3205,0.2150,0.3249,0.9702,7.2329
401,1.1399,0.3652,0.2201,0.3250,0.9701,7.2301
402,1.1328,0.2742,0.2138,0.3245,0.9685,7.2273
403,1.1995,0.2781,0.2143,0.3248,0.9700,7.2245
404,1.0697,0.3085,0.2106,0.3331,0.9684,7.2217
405,1.1365,0.3626,0.2151,0.3233,0.9697,7.2189
406,1.1321,0.2990,0.2149,0.3278,0.9698,7.2161
407,1.1241,0.2914,0.2127,0.3243,0.9699,7.2133
408,1.0989,0.2940,0.2111,0.3244,0.9673,7.2105
409,1.1397,0.2915,0.2101,0.3194,0.9693,7.2077
410,1.1428,0.2914,0.2112,0.3194,0.9677,7.2049
411,1.1741,0.3217,0.2125,0.3230,0.9668,7.2021
412,1.2921,0.3390,0.2138,0.3155,0.9673,7.1993
413,1.0910,0.2992,0.2138,0.3179,0.9659,7.1965
414,1.0807,0.2902,0.2119,0.3207,0.9683,7.1937
415,1.1215,0.2757,0.2135,0.3282,0.9686,7.1909
416,1.0268,0.2929,0.2091,0.3248,0.9668,7.1881
417,1.2540,0.2815,0.2078,0.3195,0.9680,7.1853
418,1.2197,0.3221,0.2093,0.3202,0.9657,7.1825
419,1.0690,0.2684,0.2092,0.3219,0.9676,7.1797
420,1.1342,0.2612,0.2102,0.3213,0.9665,7.1769
421,1.1415,0.3064,0.2086,0.3125,0.9679,7.1741
422,1.0960,0.2966,0.2143,0.3195,0.9658,7.1713
423,1.2028,0.2774,0.2113,0.3218,0.9676,7.1685
424,1.0415,0.2567,0.2136,0.3226,0.9658,7.1657
425,1.0423,0.2794,0.2087,0.3224,0.9652,7.1629
426,1.1116,0.2905,0.2073,0.3246,0.9666,7.1602
427,1.1135,0.2751,0.2084,0.3126,0.9649,7.1574
428,1.2627,0.2571,0.2119,0.3173,0.9656,7.1546
429,1.1635,0.2700,0.2105,0.3155,0.9662,7.1518
430,1.2517,0.2971,0.2084,0.3104,0.9652,7.1490
431,1.0926,0.2467,0.2073,0.3192,0.9647,7.1462
