Epoch,2x8x4x1,2x16x8x4x1,2x32x16x8x4x1,2x64x32x16x8x4x1
490,0.7830,0.0804,0.1053,0.0263
491,0.8536,0.1759,0.0349,0.0217
492,0.7311,0.0885,0.0415,0.0205
493,0.7361,0.0873,0.0437,0.0222
494,0.7991,0.0952,0.0388,0.0217
495,0.7832,0.0840,0.0314,0.0219
496,0.7569,0.0923,0.0379,0.0381
497,0.7722,0.0862,0.0305,0.0202
498,0.8099,0.1053,0.0377,0.0228
499,0.7512,0.0942,0.0328,0.0217
500,0.7336,0.1041,0.0383,0.0198
