,Train Input Epoch 1000,Train Output Epoch 1000,Test Input Epoch 1000,Test Output Epoch 1000,Val Input Epoch 1000,Val Output Epoch 1000,Train Input Epoch 2000,Train Output Epoch 2000,Test Input Epoch 2000,Test Output Epoch 2000,Val Input Epoch 2000,Val Output Epoch 2000,Train Input Epoch 3000,Train Output Epoch 3000,Test Input Epoch 3000,Test Output Epoch 3000,Val Input Epoch 3000,Val Output Epoch 3000,Train Input Epoch 4000,Train Output Epoch 4000,Test Input Epoch 4000,Test Output Epoch 4000,Val Input Epoch 4000,Val Output Epoch 4000,Final Train R_2,Final Test R_2,Final Val R_2
10,0.560155988,3.222109079,0.73677367,-2.115374804,0.328832895,-1.10017395,0.560155988,3.246862888,0.73677367,-2.089562178,0.328832895,-1.089905024,0.560155988,3.252729416,0.73677367,-2.081581593,0.328832895,-1.089847565,0.560155988,3.261266708,0.73677367,-2.081233025,0.328832895,-1.089474916,,,
11,0.523152351,2.850741863,0.499349952,1.711343527,0.14321433,-2.508424997,0.523152351,2.876997948,0.499349952,1.691177368,0.14321433,-2.525000334,0.523152351,2.88179636,0.499349952,1.674845099,0.14321433,-2.525797367,0.523152351,2.882866383,0.499349952,1.665959001,0.14321433,-2.522646904,,,
12,0.37773779,-4.401834965,0.076107614,-8.539356232,0.853485346,1.693976641,0.37773779,-4.386891842,0.076107614,-8.555626869,0.853485346,1.727022767,0.37773779,-4.385114193,0.076107614,-8.557201385,0.853485346,1.736388087,0.37773779,-4.385014057,0.076107614,-8.558603287,0.853485346,1.730590463,,,
13,0.272627264,4.614323616,0.00370037,-0.195527673,0.905090511,1.204854012,0.272627264,4.605938435,0.00370037,-0.220263436,0.905090511,1.246512532,0.272627264,4.602696896,0.00370037,-0.215111941,0.905090511,1.271657467,0.272627264,4.603517056,0.00370037,-0.216756448,0.905090511,1.297041416,,,
14,0.047704771,-7.135346889,0.962196231,-0.266774654,0.467246741,-0.733564854,0.047704771,-7.141089916,0.962196231,-0.292286932,0.467246741,-0.71275419,0.047704771,-7.142273426,0.962196231,-0.328869075,0.467246741,-0.703781605,0.047704771,-7.138128281,0.962196231,-0.354659438,0.467246741,-0.695330858,,,
15,0.132913291,-3.974643469,0.480148017,0.309614539,0.632263184,0.028307617,0.132913291,-3.993357658,0.480148017,0.295987785,0.632263184,0.068734571,0.132913291,-3.99689436,0.480148017,0.290781409,0.632263184,0.081394225,0.132913291,-3.996500492,0.480148017,0.294686198,0.632263184,0.088076606,,,
16,0.403540343,-4.452895641,0.370837092,-4.174657345,0.469246924,-0.571982324,0.403540343,-4.466591358,0.370837092,-4.160266399,0.469246924,-0.556587458,0.403540343,-4.468307972,0.370837092,-4.160733223,0.469246924,-0.54919982,0.403540343,-4.466031551,0.370837092,-4.160604954,0.469246924,-0.540719509,,,
17,0.96429646,-0.330100775,0.548154831,3.270016909,0.812681258,0.91713196,0.96429646,-0.353756011,0.548154831,3.307894707,0.812681258,0.872716129,0.96429646,-0.387273639,0.548154831,3.320828438,0.812681258,0.836949825,0.96429646,-0.410759449,0.548154831,3.332633972,0.812681258,0.821045756,,,
18,0.177717775,2.404722691,0.271527141,4.700983524,0.559555948,3.228136301,0.177717775,2.392321825,0.271527141,4.693025112,0.559555948,3.253727436,0.177717775,2.387428999,0.271527141,4.69008112,0.559555948,3.260063887,0.177717775,2.387504101,0.271527141,4.691004276,0.559555948,3.268878698,,,
19,0.609660983,1.436161995,0.27512753,4.41002512,0.905590534,1.195099354,0.609660983,1.434699893,0.27512753,4.400909901,0.905590534,1.235909104,0.609660983,1.423910141,0.27512753,4.397061348,0.905590534,1.260172963,0.609660983,1.415068388,0.27512753,4.397672176,0.905590534,1.285067797,,,
20,0.075107515,-8.536600113,0.931793153,0.593161404,0.50445044,2.018839121,0.075107515,-8.552653313,0.931793153,0.585454524,0.50445044,2.007241964,0.075107515,-8.554019928,0.931793153,0.557384133,0.50445044,1.993578434,0.075107515,-8.555341721,0.931793153,0.542258143,0.50445044,1.984375477,,,
21,0.579257965,2.831239939,0.442344248,-2.608529329,0.122212224,-5.387831211,0.579257965,2.82760787,0.442344248,-2.580350637,0.122212224,-5.404862404,0.579257965,2.817139864,0.442344248,-2.580385447,0.122212224,-5.408127308,0.579257965,2.813850403,0.442344248,-2.582368851,0.122212224,-5.406952858,,,
22,0.406040609,-4.396028042,0.570257008,3.063620806,0.333333343,-1.532040596,0.406040609,-4.412169933,0.570257008,3.07301712,0.333333343,-1.527486563,0.406040609,-4.415156364,0.570257008,3.070141554,0.333333343,-1.528488994,0.406040609,-4.412984371,0.570257008,3.072811842,0.333333343,-1.528268814,,,
23,0.904190421,1.222229004,0.146814689,-1.981328964,0.215721577,5.846519947,0.904190421,1.265385866,0.146814689,-1.997110844,0.215721577,5.834021091,0.904190421,1.292080998,0.146814689,-1.997055531,0.215721577,5.828927994,0.904190421,1.318299294,0.146814689,-1.992828846,0.215721577,5.829318523,,,
24,0.603060305,1.810413837,0.439443946,-2.802911997,0.248724878,5.997396946,0.603060305,1.800389051,0.439443946,-2.781119347,0.248724878,6.002965927,0.603060305,1.78518486,0.439443946,-2.783690929,0.248724878,6.005126476,0.603060305,1.774438858,0.439443946,-2.786262989,0.248724878,6.007938862,,,
